tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
avchd to alac,convert,"x to y, convert x to y",onsite-verified,".avchd,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to amr,convert,"x to y, convert x to y",onsite-verified,".avchd,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to asf,convert,"x to y, convert x to y",onsite-unverified,".avchd,.asf",,,,,
avchd to au,convert,"x to y, convert x to y",onsite-verified,".avchd,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to av1,convert,"x to y, convert x to y",onsite-unverified,".avchd,.av1",,,,,
avchd to avi,convert,"x to y, convert x to y",onsite-unverified,".avchd,.avi",,,,,
avchd to caf,convert,"x to y, convert x to y",onsite-verified,".avchd,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to cdda,convert,"x to y, convert x to y",onsite-verified,".avchd,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to divx,convert,"x to y, convert x to y",onsite-unverified,".avchd,.divx",,,,,
avchd to f4v,convert,"x to y, convert x to y",onsite-unverified,".avchd,.f4v",,,,,
avchd to flac,convert,"x to y, convert x to y",onsite-verified,".avchd,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to flv,convert,"x to y, convert x to y",onsite-unverified,".avchd,.flv",,,,,
avchd to gif,convert,"x to y, convert x to y",onsite-unverified,".avchd,.gif",,,,,
avchd to hevc,convert,"x to y, convert x to y",onsite-unverified,".avchd,.hevc",,,,,
avchd to m2ts,convert,"x to y, convert x to y",onsite-unverified,".avchd,.m2ts",,,,,
avchd to m4a,convert,"x to y, convert x to y",onsite-verified,".avchd,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to m4r,convert,"x to y, convert x to y",onsite-verified,".avchd,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to m4v,convert,"x to y, convert x to y",onsite-unverified,".avchd,.m4v",,,,,
avchd to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mjpeg",,,,,
avchd to mkv,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mkv",,,,,
avchd to mov,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mov",,,,,
avchd to mp2,convert,"x to y, convert x to y",onsite-verified,".avchd,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to mp3,convert,"x to y, convert x to y",onsite-verified,".avchd,.mp3",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to mp4,convert,"x to y, convert x to y",onsite-verified,".avchd,.mp4",,,,,
avchd to mpeg,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mpeg",,,,,
avchd to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mpeg2",,,,,
avchd to mpg,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mpg",,,,,
avchd to mts,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mts",,,,,
avchd to mxf,convert,"x to y, convert x to y",onsite-unverified,".avchd,.mxf",,,,,
avchd to oga,convert,"x to y, convert x to y",onsite-verified,".avchd,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to ogg,convert,"x to y, convert x to y",onsite-verified,".avchd,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to opus,convert,"x to y, convert x to y",onsite-verified,".avchd,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to rm,convert,"x to y, convert x to y",onsite-unverified,".avchd,.rm",,,,,
avchd to rmvb,convert,"x to y, convert x to y",onsite-unverified,".avchd,.rmvb",,,,,
avchd to ts,convert,"x to y, convert x to y",onsite-unverified,".avchd,.ts",,,,,
avchd to vob,convert,"x to y, convert x to y",onsite-unverified,".avchd,.vob",,,,,
avchd to wav,convert,"x to y, convert x to y",onsite-verified,".avchd,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avchd to webm,convert,"x to y, convert x to y",onsite-unverified,".avchd,.webm",,,,,
avchd to wma,convert,"x to y, convert x to y",onsite-verified,".avchd,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to 3gp,convert,"x to y, convert x to y",onsite-unverified,".avi,.3gp",,,,,
avi to aac,convert,"x to y, convert x to y",onsite-verified,".avi,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to aiff,convert,"x to y, convert x to y",onsite-verified,".avi,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to alac,convert,"x to y, convert x to y",onsite-verified,".avi,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to amr,convert,"x to y, convert x to y",onsite-verified,".avi,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to asf,convert,"x to y, convert x to y",onsite-unverified,".avi,.asf",,,,,
avi to au,convert,"x to y, convert x to y",onsite-verified,".avi,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to av1,convert,"x to y, convert x to y",onsite-unverified,".avi,.av1",,,,,
avi to avchd,convert,"x to y, convert x to y",onsite-unverified,".avi,.avchd",,,,,
avi to caf,convert,"x to y, convert x to y",onsite-verified,".avi,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to cdda,convert,"x to y, convert x to y",onsite-verified,".avi,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to divx,convert,"x to y, convert x to y",onsite-unverified,".avi,.divx",,,,,
avi to f4v,convert,"x to y, convert x to y",onsite-unverified,".avi,.f4v",,,,,
avi to flac,convert,"x to y, convert x to y",onsite-verified,".avi,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to flv,convert,"x to y, convert x to y",onsite-unverified,".avi,.flv",,,,,
avi to gif,convert,"x to y, convert x to y",onsite-unverified,".avi,.gif",,,,,
avi to hevc,convert,"x to y, convert x to y",onsite-unverified,".avi,.hevc",,,,,
avi to m2ts,convert,"x to y, convert x to y",onsite-unverified,".avi,.m2ts",,,,,
avi to m4a,convert,"x to y, convert x to y",onsite-verified,".avi,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to m4r,convert,"x to y, convert x to y",onsite-verified,".avi,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to m4v,convert,"x to y, convert x to y",onsite-unverified,".avi,.m4v",,,,,
avi to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".avi,.mjpeg",,,,,
avi to mkv,convert,"x to y, convert x to y",onsite-unverified,".avi,.mkv",,,,,
avi to mov,convert,"x to y, convert x to y",onsite-unverified,".avi,.mov",,,,,
avi to mp2,convert,"x to y, convert x to y",onsite-verified,".avi,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to mp3,convert,"x to y, convert x to y",onsite-unverified,".avi,.mp3",,,,,
avi to mp4,convert,"x to y, convert x to y",onsite-unverified,".avi,.mp4",,,,,
avi to mpeg,convert,"x to y, convert x to y",onsite-unverified,".avi,.mpeg",,,,,
avi to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".avi,.mpeg2",,,,,
avi to mpg,convert,"x to y, convert x to y",onsite-unverified,".avi,.mpg",,,,,
avi to mts,convert,"x to y, convert x to y",onsite-unverified,".avi,.mts",,,,,
avi to mxf,convert,"x to y, convert x to y",onsite-unverified,".avi,.mxf",,,,,
avi to oga,convert,"x to y, convert x to y",onsite-verified,".avi,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to ogg,convert,"x to y, convert x to y",onsite-verified,".avi,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to opus,convert,"x to y, convert x to y",onsite-verified,".avi,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to rm,convert,"x to y, convert x to y",onsite-unverified,".avi,.rm",,,,,
avi to rmvb,convert,"x to y, convert x to y",onsite-unverified,".avi,.rmvb",,,,,
avi to ts,convert,"x to y, convert x to y",onsite-unverified,".avi,.ts",,,,,
avi to vob,convert,"x to y, convert x to y",onsite-unverified,".avi,.vob",,,,,
avi to wav,convert,"x to y, convert x to y",onsite-unverified,".avi,.wav",,,,,
avi to webm,convert,"x to y, convert x to y",onsite-unverified,".avi,.webm",,,,,
avi to wma,convert,"x to y, convert x to y",onsite-verified,".avi,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
avi to wmv,convert,"x to y, convert x to y",onsite-unverified,".avi,.wmv",,,,,
avif to gif,convert,avif-to-gif,onsite-verified,".avif,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
avif to jpeg,convert,"x to y, convert x to y",onsite-verified,".avif,.jpeg",,,,canvas-only,none (browser canvas)
avif to jpg,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
avif to png,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
avif to svg,convert,"x to y, convert x to y",onsite-verified,".avif,.svg",,,,canvas-only,none (browser canvas)
avif to webp,convert,"x to y, convert x to y",onsite-verified,".avif,.webp",,,,canvas-only,none (browser canvas)
batch png compressor,bulk,batch compress x,onsite-unverified,".png,.png",,,,,
bmp to bmp,convert,bmp-to-bmp,onsite-verified,".bmp,.bmp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to cur,convert,bmp-to-cur,onsite-verified,".bmp,.cur",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to dds,convert,bmp-to-dds,onsite-verified,".bmp,.dds",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to eps,convert,bmp-to-eps,in-progress,".bmp,.eps",,,,needs-new-engine,not supported by current canvas/magick paths
bmp to gif,convert,bmp-to-gif,onsite-verified,".bmp,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to ico,convert,bmp-to-ico,onsite-verified,".bmp,.ico",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to jpeg,convert,bmp-to-jpeg,onsite-verified,".bmp,.jpeg",,,,canvas-only,none (browser canvas)
bmp to jpg,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
bmp to pdf,convert,"x to y, convert x to y",onsite-unverified,,,,,,
bmp to png,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
bmp to svg,convert,"x to y, convert x to y",onsite-verified,".bmp,.svg",,,,canvas-only,none (browser canvas)
bmp to tga,convert,bmp-to-tga,onsite-verified,".bmp,.tga",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to tif,convert,bmp-to-tif,onsite-verified,".bmp,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to tiff,convert,bmp-to-tiff,onsite-verified,".bmp,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
bmp to webp,convert,"x to y, convert x to y",onsite-verified,".bmp,.webp",,,,canvas-only,none (browser canvas)
caf to aac,convert,"x to y, convert x to y",onsite-unverified,".caf,.aac",,,,,
caf to aiff,convert,"x to y, convert x to y",onsite-unverified,".caf,.aiff",,,,,
caf to alac,convert,"x to y, convert x to y",onsite-unverified,".caf,.alac",,,,,
caf to amr,convert,"x to y, convert x to y",onsite-unverified,".caf,.amr",,,,,
caf to au,convert,"x to y, convert x to y",onsite-unverified,".caf,.au",,,,,
caf to cdda,convert,"x to y, convert x to y",onsite-unverified,".caf,.cdda",,,,,
caf to flac,convert,"x to y, convert x to y",onsite-unverified,".caf,.flac",,,,,
caf to m4a,convert,"x to y, convert x to y",onsite-unverified,".caf,.m4a",,,,,
caf to m4r,convert,"x to y, convert x to y",onsite-unverified,".caf,.m4r",,,,,
caf to mp2,convert,"x to y, convert x to y",onsite-unverified,".caf,.mp2",,,,,
caf to mp3,convert,"x to y, convert x to y",onsite-unverified,".caf,.mp3",,,,,
caf to oga,convert,"x to y, convert x to y",onsite-unverified,".caf,.oga",,,,,
caf to ogg,convert,"x to y, convert x to y",onsite-unverified,".caf,.ogg",,,,,
caf to opus,convert,"x to y, convert x to y",onsite-unverified,".caf,.opus",,,,,
caf to wav,convert,"x to y, convert x to y",onsite-unverified,".caf,.wav",,,,,
caf to wma,convert,"x to y, convert x to y",onsite-unverified,".caf,.wma",,,,,
cdda to aac,convert,"x to y, convert x to y",onsite-unverified,".cdda,.aac",,,,,
cdda to aiff,convert,"x to y, convert x to y",onsite-unverified,".cdda,.aiff",,,,,
cdda to alac,convert,"x to y, convert x to y",onsite-unverified,".cdda,.alac",,,,,
cdda to amr,convert,"x to y, convert x to y",onsite-unverified,".cdda,.amr",,,,,
cdda to au,convert,"x to y, convert x to y",onsite-unverified,".cdda,.au",,,,,
cdda to caf,convert,"x to y, convert x to y",onsite-unverified,".cdda,.caf",,,,,
cdda to flac,convert,"x to y, convert x to y",onsite-unverified,".cdda,.flac",,,,,
cdda to m4a,convert,"x to y, convert x to y",onsite-unverified,".cdda,.m4a",,,,,
cdda to m4r,convert,"x to y, convert x to y",onsite-unverified,".cdda,.m4r",,,,,
cdda to mp2,convert,"x to y, convert x to y",onsite-unverified,".cdda,.mp2",,,,,
cdda to mp3,convert,"x to y, convert x to y",onsite-unverified,".cdda,.mp3",,,,,
cdda to oga,convert,"x to y, convert x to y",onsite-unverified,".cdda,.oga",,,,,
cdda to ogg,convert,"x to y, convert x to y",onsite-unverified,".cdda,.ogg",,,,,
cdda to opus,convert,"x to y, convert x to y",onsite-unverified,".cdda,.opus",,,,,
cdda to wav,convert,"x to y, convert x to y",onsite-unverified,".cdda,.wav",,,,,
cdda to wma,convert,"x to y, convert x to y",onsite-unverified,".cdda,.wma",,,,,
character counter,convert,"x to y, convert x to y",onsite-unverified,,,,,,
cr2 to dds,convert,"x to y, convert x to y",onsite-unverified,".cr2,.dds",,,,,
cr2 to gif,convert,cr2-to-gif,onsite-verified,".cr2,.gif",,,,,
cr2 to jpeg,convert,cr2-to-jpeg,onsite-verified,".cr2,.jpeg",,,,,
cr2 to jpg,convert,"x to y, convert x to y",onsite-unverified,,,,,,
cr2 to pdf,convert,"x to y, convert x to y",onsite-unverified,".cr2,.pdf",,,,,
cr2 to png,convert,cr2-to-png,onsite-verified,".cr2,.png",,,,,
cr2 to svg,convert,"x to y, convert x to y",onsite-unverified,".cr2,.svg",,,,,
cr2 to tga,convert,"x to y, convert x to y",onsite-unverified,".cr2,.tga",,,,,
cr2 to tif,convert,cr2-to-tif,onsite-verified,".cr2,.tif",,,,,
cr2 to tiff,convert,cr2-to-tiff,onsite-verified,".cr2,.tiff",,,,,
cr2 to webp,convert,cr2-to-webp,onsite-verified,".cr2,.webp",,,,,
cr3 to dds,convert,"x to y, convert x to y",onsite-unverified,".cr3,.dds",,,,,
cr3 to gif,convert,cr3-to-gif,onsite-verified,".cr3,.gif",,,,,
cr3 to jpeg,convert,cr3-to-jpeg,onsite-verified,".cr3,.jpeg",,,,,
cr3 to jpg,convert,"x to y, convert x to y",onsite-unverified,,,,,,
cr3 to pdf,convert,"x to y, convert x to y",onsite-unverified,".cr3,.pdf",,,,,
cr3 to png,convert,cr3-to-png,onsite-verified,".cr3,.png",,,,,
cr3 to svg,convert,"x to y, convert x to y",onsite-unverified,".cr3,.svg",,,,,
cr3 to tga,convert,"x to y, convert x to y",onsite-unverified,".cr3,.tga",,,,,
cr3 to tif,convert,cr3-to-tif,onsite-verified,".cr3,.tif",,,,,
cr3 to tiff,convert,cr3-to-tiff,onsite-verified,".cr3,.tiff",,,,,
cr3 to webp,convert,cr3-to-webp,onsite-verified,".cr3,.webp",,,,,
csv combiner,combine,combine files,onsite-unverified,".csv,.csv",,,,,
cur to cur,convert,cur-to-cur,onsite-verified,".cur,.cur",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to dds,convert,cur-to-dds,onsite-verified,".cur,.dds",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to eps,convert,cur-to-eps,in-progress,".cur,.eps",,,,,
cur to gif,convert,cur-to-gif,onsite-verified,".cur,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to ico,convert,cur-to-ico,onsite-verified,".cur,.ico",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to jpeg,convert,cur-to-jpeg,onsite-verified,".cur,.jpeg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to jpg,convert,cur-to-jpg,onsite-verified,".cur,.jpg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to png,convert,cur-to-png,onsite-verified,".cur,.png",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to svg,convert,cur-to-svg,in-progress,".cur,.svg",,,,,
cur to tga,convert,cur-to-tga,onsite-verified,".cur,.tga",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to tif,convert,cur-to-tif,onsite-verified,".cur,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to tiff,convert,cur-to-tiff,onsite-verified,".cur,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
cur to webp,convert,cur-to-webp,onsite-verified,".cur,.webp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to dds,convert,dds-to-dds,onsite-verified,".dds,.dds",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to eps,convert,dds-to-eps,in-progress,".dds,.eps",,,,,
dds to gif,convert,dds-to-gif,onsite-verified,".dds,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to ico,convert,dds-to-ico,onsite-verified,".dds,.ico",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to jpeg,convert,dds-to-jpeg,onsite-verified,".dds,.jpeg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to jpg,convert,dds-to-jpg,onsite-verified,".dds,.jpg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to png,convert,dds-to-png,onsite-verified,".dds,.png",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to svg,convert,dds-to-svg,in-progress,".dds,.svg",,,,,
dds to tif,convert,dds-to-tif,onsite-verified,".dds,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to tiff,convert,dds-to-tiff,onsite-verified,".dds,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
dds to webp,convert,dds-to-webp,onsite-verified,".dds,.webp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
divx to 3gp,convert,"x to y, convert x to y",onsite-unverified,".divx,.3gp",,,,,
divx to aac,convert,"x to y, convert x to y",onsite-verified,".divx,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to aiff,convert,"x to y, convert x to y",onsite-verified,".divx,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to alac,convert,"x to y, convert x to y",onsite-verified,".divx,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to amr,convert,"x to y, convert x to y",onsite-verified,".divx,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to asf,convert,"x to y, convert x to y",onsite-unverified,".divx,.asf",,,,,
divx to au,convert,"x to y, convert x to y",onsite-verified,".divx,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to av1,convert,"x to y, convert x to y",onsite-unverified,".divx,.av1",,,,,
divx to avchd,convert,"x to y, convert x to y",onsite-unverified,".divx,.avchd",,,,,
divx to avi,convert,"x to y, convert x to y",onsite-unverified,".divx,.avi",,,,,
divx to caf,convert,"x to y, convert x to y",onsite-verified,".divx,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to cdda,convert,"x to y, convert x to y",onsite-verified,".divx,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to f4v,convert,"x to y, convert x to y",onsite-unverified,".divx,.f4v",,,,,
divx to flac,convert,"x to y, convert x to y",onsite-verified,".divx,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to flv,convert,"x to y, convert x to y",onsite-unverified,".divx,.flv",,,,,
divx to gif,convert,"x to y, convert x to y",onsite-unverified,".divx,.gif",,,,,
divx to hevc,convert,"x to y, convert x to y",onsite-unverified,".divx,.hevc",,,,,
divx to m2ts,convert,"x to y, convert x to y",onsite-unverified,".divx,.m2ts",,,,,
divx to m4a,convert,"x to y, convert x to y",onsite-verified,".divx,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
divx to m4r,convert,"x to y, convert x to y",onsite-verified,".divx,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
